"","CountryCode","Rank","Country","USD"
"1",NA,NA,NA,NA
"2","USA","1","United States"," 16,244,600 "
"3","CHN","2","China"," 8,227,103 "
"4","JPN","3","Japan"," 5,959,718 "
"5","DEU","4","Germany"," 3,428,131 "
"6","FRA","5","France"," 2,612,878 "
"7","GBR","6","United Kingdom"," 2,471,784 "
"8","BRA","7","Brazil"," 2,252,664 "
"9","RUS","8","Russian Federation"," 2,014,775 "
"10","ITA","9","Italy"," 2,014,670 "
"11","IND","10","India"," 1,841,710 "
"12","CAN","11","Canada"," 1,821,424 "
"13","AUS","12","Australia"," 1,532,408 "
"14","ESP","13","Spain"," 1,322,965 "
"15","MEX","14","Mexico"," 1,178,126 "
"16","KOR","15","Korea, Rep."," 1,129,598 "
"17","IDN","16","Indonesia"," 878,043 "
"18","TUR","17","Turkey"," 789,257 "
"19","NLD","18","Netherlands"," 770,555 "
"20","SAU","19","Saudi Arabia"," 711,050 "
"21","CHE","20","Switzerland"," 631,173 "
"22","SWE","21","Sweden"," 523,806 "
"23","IRN","22","Iran, Islamic Rep."," 514,060 "
"24","NOR","23","Norway"," 499,667 "
"25","POL","24","Poland"," 489,795 "
"26","BEL","25","Belgium"," 483,262 "
"27","ARG","26","Argentina"," 475,502 "
"28","AUT","27","Austria"," 394,708 "
"29","ZAF","28","South Africa"," 384,313 "
"30","VEN","29","Venezuela, RB"," 381,286 "
"31","COL","30","Colombia"," 369,606 "
"32","THA","31","Thailand"," 365,966 "
"33","ARE","32","United Arab Emirates"," 348,595 "
"34","DNK","33","Denmark"," 314,887 "
"35","MYS","34","Malaysia"," 305,033 "
"36","SGP","35","Singapore"," 274,701 "
"37","CHL","36","Chile"," 269,869 "
"38","HKG","37","Hong Kong SAR, China"," 263,259 "
"39","EGY","38","Egypt, Arab Rep."," 262,832 "
"40","NGA","39","Nigeria"," 262,597 "
"41","ISR","40","Israel"," 258,217 "
"42","PHL","41","Philippines"," 250,182 "
"43","GRC","42","Greece"," 249,099 "
"44","FIN","43","Finland"," 247,546 "
"45","PAK","44","Pakistan"," 225,143 "
"46","PRT","45","Portugal"," 212,274 "
"47","IRL","46","Ireland"," 210,771 "
"48","IRQ","47","Iraq"," 210,280 "
"49","DZA","48","Algeria"," 205,789 "
"50","PER","49","Peru"," 203,790 "
"51","KAZ","50","Kazakhstan"," 203,521 "
"52","CZE","51","Czech Republic"," 196,446 "
"53","ROM","52","Romania"," 192,711 "
"54","UKR","53","Ukraine"," 176,309 "
"55","QAT","54","Qatar"," 171,476 "
"56","NZL","55","New Zealand"," 167,347 "
"57","KWT","56","Kuwait"," 160,913 "
"58","VNM","57","Vietnam"," 155,820 "
"59","HUN","58","Hungary"," 124,600 "
"60","BGD","59","Bangladesh"," 116,355 "
"61","AGO","60","Angola"," 114,147 "
"62","PRI","61","Puerto Rico"," 101,496 "
"63","MAR","62","Morocco"," 95,982 "
"64","SVK","63","Slovak Republic"," 91,149 "
"65","ECU","64","Ecuador"," 84,040 "
"66","SYR","65","Syrian Arab Republic"," 73,672 "
"67","OMN","66","Oman"," 69,972 "
"68","CUB","67","Cuba"," 68,234 "
"69","AZE","68","Azerbaijan"," 66,605 "
"70","BLR","69","Belarus"," 63,267 "
"71","LKA","70","Sri Lanka"," 59,423 "
"72","HRV","71","Croatia"," 59,228 "
"73","DOM","72","Dominican Republic"," 59,047 "
"74","SDN","73","Sudan"," 58,769 "
"75","LUX","74","Luxembourg"," 55,178 "
"76","UZB","75","Uzbekistan"," 51,113 "
"77","BGR","76","Bulgaria"," 50,972 "
"78","GTM","77","Guatemala"," 50,234 "
"79","URY","78","Uruguay"," 49,920 "
"80","TUN","79","Tunisia"," 45,662 "
"81","SVN","80","Slovenia"," 45,279 "
"82","CRI","81","Costa Rica"," 45,104 "
"83","MAC","82","Macao SAR, China"," 43,582 "
"84","LBN","83","Lebanon"," 42,945 "
"85","LTU","84","Lithuania"," 42,344 "
"86","ETH","85","Ethiopia"," 41,605 "
"87","GHA","86","Ghana"," 40,711 "
"88","KEN","87","Kenya"," 40,697 "
"89","SRB","88","Serbia"," 37,489 "
"90","PAN","89","Panama"," 36,253 "
"91","YEM","90","Yemen, Rep."," 35,646 "
"92","TKM","91","Turkmenistan"," 35,164 "
"93","JOR","92","Jordan"," 31,015 "
"94","BHR","93","Bahrain"," 29,044 "
"95","LVA","94","Latvia"," 28,373 "
"96","TZA","95","Tanzania"," 28,242 "
"97","BOL","96","Bolivia"," 27,035 "
"98","PRY","97","Paraguay"," 25,502 "
"99","CMR","98","Cameroon"," 25,322 "
"100","CIV","99","Côte d'Ivoire"," 24,680 "
"101","SLV","100","El Salvador"," 23,864 "
"102","TTO","101","Trinidad and Tobago"," 23,320 "
"103","CYP","102","Cyprus"," 22,767 "
"104","EST","103","Estonia"," 22,390 "
"105","ZMB","104","Zambia"," 20,678 "
"106","AFG","105","Afghanistan"," 20,497 "
"107","UGA","106","Uganda"," 19,881 "
"108","NPL","107","Nepal"," 18,963 "
"109","HND","108","Honduras"," 18,434 "
"110","GAB","109","Gabon"," 18,377 "
"111","GNQ","110","Equatorial Guinea"," 17,697 "
"112","BIH","111","Bosnia and Herzegovina"," 17,466 "
"113","ZAR","112","Congo, Dem. Rep."," 17,204 "
"114","BRN","113","Brunei Darussalam"," 16,954 "
"115","GEO","114","Georgia"," 15,747 "
"116","PNG","115","Papua New Guinea"," 15,654 "
"117","JAM","116","Jamaica"," 14,755 "
"118","BWA","117","Botswana"," 14,504 "
"119","MOZ","118","Mozambique"," 14,244 "
"120","SEN","119","Senegal"," 14,046 "
"121","KHM","120","Cambodia"," 14,038 "
"122","COG","121","Congo, Rep."," 13,678 "
"123","ISL","122","Iceland"," 13,579 "
"124","NAM","123","Namibia"," 13,072 "
"125","TCD","124","Chad"," 12,887 "
"126","ALB","125","Albania"," 12,648 "
"127","NIC","126","Nicaragua"," 10,507 "
"128","MUS","127","Mauritius"," 10,486 "
"129","BFA","128","Burkina Faso"," 10,441 "
"130","MLI","129","Mali"," 10,308 "
"131","MNG","130","Mongolia"," 10,271 "
"132","SSD","131","South Sudan"," 10,220 "
"133","MDG","132","Madagascar"," 9,975 "
"134","ARM","133","Armenia"," 9,951 "
"135","ZWE","134","Zimbabwe"," 9,802 "
"136","MKD","135","Macedonia, FYR"," 9,613 "
"137","LAO","136","Lao PDR"," 9,418 "
"138","MLT","137","Malta"," 8,722 "
"139","BHS","138","Bahamas, The"," 8,149 "
"140","HTI","139","Haiti"," 7,843 "
"141","BEN","140","Benin"," 7,557 "
"142","MDA","141","Moldova"," 7,253 "
"143","RWA","142","Rwanda"," 7,103 "
"144","TJK","143","Tajikistan"," 6,972 "
"145","NER","144","Niger"," 6,773 "
"146","KGZ","145","Kyrgyz Republic"," 6,475 "
"147","KSV","146","Kosovo"," 6,445 "
"148","MCO","147","Monaco"," 6,075 "
"149","GIN","148","Guinea"," 5,632 "
"150","BMU","149","Bermuda"," 5,474 "
"151","SUR","150","Suriname"," 5,012 "
"152","MNE","151","Montenegro"," 4,373 "
"153","MWI","152","Malawi"," 4,264 "
"154","BRB","153","Barbados"," 4,225 "
"155","MRT","154","Mauritania"," 4,199 "
"156","FJI","155","Fiji"," 3,908 "
"157","TGO","156","Togo"," 3,814 "
"158","SLE","157","Sierra Leone"," 3,796 "
"159","SWZ","158","Swaziland"," 3,744 "
"160","ERI","159","Eritrea"," 3,092 "
"161","GUY","160","Guyana"," 2,851 "
"162","ABW","161","Aruba"," 2,584 "
"163","BDI","162","Burundi"," 2,472 "
"164","LSO","163","Lesotho"," 2,448 "
"165","MDV","164","Maldives"," 2,222 "
"166","CAF","165","Central African Republic"," 2,184 "
"167","CPV","166","Cape Verde"," 1,827 "
"168","BTN","167","Bhutan"," 1,780 "
"169","LBR","168","Liberia"," 1,734 "
"170","BLZ","169","Belize"," 1,493 "
"171","TMP","170","Timor-Leste"," 1,293 "
"172","LCA","171","St. Lucia"," 1,239 "
"173","ATG","172","Antigua and Barbuda"," 1,134 "
"174","SYC","173","Seychelles"," 1,129 "
"175","SLB","174","Solomon Islands"," 1,008 "
"176","GMB","175","Gambia, The"," 917 "
"177","GNB","176","Guinea-Bissau"," 822 "
"178","VUT","177","Vanuatu"," 787 "
"179","GRD","178","Grenada"," 767 "
"180","KNA","178","St. Kitts and Nevis"," 767 "
"181","VCT","180","St. Vincent and the Grenadines"," 713 "
"182","WSM","181","Samoa"," 684 "
"183","COM","182","Comoros"," 596 "
"184","DMA","183","Dominica"," 480 "
"185","TON","184","Tonga"," 472 "
"186","FSM","185","Micronesia, Fed. Sts."," 326 "
"187","STP","186","São Tomé and Principe"," 263 "
"188","PLW","187","Palau"," 228 "
"189","MHL","188","Marshall Islands"," 182 "
"190","KIR","189","Kiribati"," 175 "
"191","TUV","190","Tuvalu"," 40 "
"192",NA,NA,NA,NA
"193","ASM",NA,"American Samoa",".."
"194","ADO",NA,"Andorra",".."
"195","CYM",NA,"Cayman Islands",".."
"196","CHI",NA,"Channel Islands",".."
"197","CUW",NA,"Curaçao",".."
"198","DJI",NA,"Djibouti",NA
"199","FRO",NA,"Faeroe Islands",".."
"200","PYF",NA,"French Polynesia",".."
"201","GRL",NA,"Greenland",".."
"202","GUM",NA,"Guam",".."
"203","IMY",NA,"Isle of Man",".."
"204","PRK",NA,"Korea, Dem. Rep.",".."
"205","LBY",NA,"Libya",".."
"206","LIE",NA,"Liechtenstein",".."
"207","MMR",NA,"Myanmar",".."
"208","NCL",NA,"New Caledonia",".."
"209","MNP",NA,"Northern Mariana Islands",".."
"210","SMR",NA,"San Marino",".."
"211","SXM",NA,"Sint Maarten (Dutch part)",".."
"212","SOM",NA,"Somalia",".."
"213","MAF",NA,"St. Martin (French part)",".."
"214","TCA",NA,"Turks and Caicos Islands",".."
"215","VIR",NA,"Virgin Islands (U.S.)",".."
"216","WBG",NA,"West Bank and Gaza",".."
"217",NA,NA,NA,NA
"218","WLD",NA,"World","72,440,449"
"219",NA,NA,NA,NA
"220","LIC",NA,"Low income","504,431"
"221","MIC",NA,"Middle income","22,249,909"
"222","LMC",NA,"  Lower middle income","4,823,811"
"223","UMC",NA,"  Upper middle income","17,426,690"
"224","LMY",NA,"Low & middle income","22,769,282"
"225","EAP",NA,"  East Asia & Pacific","10,329,684"
"226","ECA",NA,"  Europe & Central Asia","1,887,950"
"227","LAC",NA,"  Latin America & Caribbean","5,344,028"
"228","MNA",NA,"  Middle East & North Africa","1,540,807"
"229","SAS",NA,"  South Asia","2,286,093"
"230","SSA",NA,"  Sub-Saharan Africa","1,289,813"
"231","HIC",NA,"High income","49,717,634"
"232","EMU",NA,"  Euro area","12,192,344"
"233",NA,NA,NA,NA
"234",NA,".. Not available.  ",NA,NA
"235",NA,"Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for 2011 or 2010.",NA,NA
"236",NA,"a. Includes Former Spanish Sahara.  b. Excludes South Sudan  c. Covers mainland Tanzania only. d. Data are for the area ",NA,NA
